assessment_id,control_id,control_family,system_id,system_name,assessment_date,assessment_type,assessor,implementation_status,effectiveness_rating,gap_description,remediation_plan,remediation_due_date,remediation_owner,findings
2c548ece-02a0-4364-aff4-735bd4d2808a,AU-6,Audit and Accountability,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-08-17,Internal Audit,Risk Management,Implemented,Effective,,,,,Assessment of AU-6 for Legal HRIS
64098e72-9367-4658-888d-4c9a29d2bf9d,PM-7,Program Management,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-08-07,Internal Audit,External Auditor - Deloitte,Partially Implemented,Effective,Policy documented but evidence collection incomplete,Implement automated control monitoring by Q1 2025,2025-01-25,Nicole Thomas,Assessment of PM-7 for Legal HRIS
30a39098-6185-473b-b524-6265493a013f,SR-8,Supply Chain Risk Management,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-07-13,External Audit,External Auditor - PwC,Partially Implemented,Partially Effective,Integration with monitoring tools incomplete,Upgrade legacy system to support required controls,2024-11-02,Nicole Thomas,Assessment of SR-8 for Legal HRIS
876c177d-769e-4ab8-ac62-35879f6fda9e,PS-9,Personnel Security,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-07-06,External Audit,External Auditor - Deloitte,Implemented,Partially Effective,,,,,Assessment of PS-9 for Legal HRIS
ef9b5782-4b27-4b49-976d-1a2c34ffadaa,SA-22,System and Services Acquisition,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-07-06,External Audit,IT Security Team,Implemented,Effective,,,,,Assessment of SA-22 for Legal HRIS
bd116f7c-8698-486f-974c-bc98545bd09d,MA-2,Maintenance,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-08-15,Self-Assessment,External Auditor - KPMG,Implemented,Effective,,,,,Assessment of MA-2 for Legal HRIS
cb34b5be-2844-48da-998f-219db2bed791,IR-4,Incident Response,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-07-28,Continuous Monitoring,External Auditor - PwC,Partially Implemented,Partially Effective,"Configuration drift detected, remediation in progress",Upgrade legacy system to support required controls,2024-12-20,Nicole Thomas,Assessment of IR-4 for Legal HRIS
99e5a3a6-b576-41ca-a039-efc59ef561f0,IA-5,Identification and Authentication,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-08-21,Internal Audit,Risk Management,Partially Implemented,Effective,Technical debt impacting control effectiveness,Deploy centralized logging solution,2024-10-17,Nicole Thomas,Assessment of IA-5 for Legal HRIS
99927e33-2003-4b27-9d70-ee5cffa24ea8,PM-6,Program Management,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-08-14,Self-Assessment,Compliance Team,Not Implemented,Not Effective,Process exists but not consistently followed across all teams,Create exception handling process,2025-01-27,Nicole Thomas,Assessment of PM-6 for Legal HRIS
08ddd27d-c1c8-439e-903d-e92bf85ad137,IA-8,Identification and Authentication,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-08-10,Self-Assessment,Risk Management,Partially Implemented,Partially Effective,Process exists but not consistently followed across all teams,Implement automated control monitoring by Q1 2025,2024-12-23,Nicole Thomas,Assessment of IA-8 for Legal HRIS
78440dba-b086-4d4d-a67c-fb4d45fc75d1,CP-9,Contingency Planning,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-07-04,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of CP-9 for Legal HRIS
34b292fb-daed-4774-8f27-1e5521bd577e,AU-1,Audit and Accountability,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-06-30,Internal Audit,External Auditor - KPMG,Implemented,Effective,,,,,Assessment of AU-1 for Legal HRIS
258d9b37-3971-4943-87f7-09efc297c94f,MA-1,Maintenance,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-06-27,Internal Audit,Internal Audit Team,Implemented,Effective,,,,,Assessment of MA-1 for Legal HRIS
d42292fe-c05b-4a5b-9106-60a6419fdc3d,AC-22,Access Control,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-07-03,Internal Audit,Compliance Team,Implemented,Effective,,,,,Assessment of AC-22 for Legal HRIS
501efe95-e83f-4353-bdac-187912e79eee,MA-5,Maintenance,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-07-11,Internal Audit,IT Security Team,Implemented,Effective,,,,,Assessment of MA-5 for Legal HRIS
cbaffd49-01dc-42d6-8f04-ebb237a04f98,PS-1,Personnel Security,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-07-18,Internal Audit,IT Security Team,Implemented,Effective,,,,,Assessment of PS-1 for Legal HRIS
7ed940cc-ab68-4a07-838c-078826a281b7,PL-10,Planning,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-08-06,Self-Assessment,Security Operations,Implemented,Effective,,,,,Assessment of PL-10 for Legal HRIS
7be2839e-74d3-4f20-a659-efb20f269eb1,IR-8,Incident Response,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-07-27,Internal Audit,External Auditor - PwC,Partially Implemented,Partially Effective,Pending vendor support for required functionality,Engage vendor for implementation support,2024-11-09,Nicole Thomas,Assessment of IR-8 for Legal HRIS
a0348ea9-f170-49ce-9cdf-dbc3135b9bff,MP-6,Media Protection,ae37b0c6-224c-4929-b490-017ca050e755,Legal HRIS,2024-07-07,External Audit,Risk Management,Not Implemented,Not Effective,Legacy system limitation prevents full implementation,Create exception handling process,2024-12-29,Nicole Thomas,Assessment of MP-6 for Legal HRIS
b1348db1-6276-462d-ac13-7ddc6bd4df85,IA-1,Identification and Authentication,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-18,External Audit,Security Operations,Implemented,Partially Effective,,,,,Assessment of IA-1 for Partner SCM
221094f8-f159-41bd-bc8b-e7018c64b1a9,CM-1,Configuration Management,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-20,Self-Assessment,Security Operations,Implemented,Effective,,,,,Assessment of CM-1 for Partner SCM
2fe89928-b909-4f46-8a68-3bc67bf2e70a,PS-1,Personnel Security,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-26,Self-Assessment,Security Operations,Implemented,Partially Effective,,,,,Assessment of PS-1 for Partner SCM
9d2795d6-e967-47f1-9714-59352ac74408,SR-2,Supply Chain Risk Management,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-11,External Audit,External Auditor - PwC,Implemented,Effective,,,,,Assessment of SR-2 for Partner SCM
4073ebc2-28dd-4558-bf59-1e7586f7da15,AC-20,Access Control,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-10,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of AC-20 for Partner SCM
4d1809c1-ecb1-4e38-814c-7f24a3b25fb2,PE-1,Physical and Environmental Protection,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-26,Internal Audit,GRC Team,Partially Implemented,Effective,Legacy system limitation prevents full implementation,Deploy centralized logging solution,2025-01-31,Nicole Jones,Assessment of PE-1 for Partner SCM
21c33ace-f27f-4481-bbfb-aa00c282f9db,PL-4,Planning,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-31,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of PL-4 for Partner SCM
3d92ba0d-854e-487c-a9b3-96c15db29c82,SC-13,System and Communications Protection,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-24,Internal Audit,External Auditor - PwC,Implemented,Effective,,,,,Assessment of SC-13 for Partner SCM
c17e539a-f1ef-46a4-97c4-1e22829168da,PS-5,Personnel Security,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-16,Internal Audit,External Auditor - PwC,Not Applicable,,,,,,Assessment of PS-5 for Partner SCM
756f6f1e-d20d-46c1-91b1-c20a2bbe8c8a,CM-2,Configuration Management,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-21,Self-Assessment,Risk Management,Implemented,Effective,,,,,Assessment of CM-2 for Partner SCM
0491417c-28c4-45bd-a8d2-baa9e17f7e67,SI-3,System and Information Integrity,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-13,Internal Audit,Risk Management,Implemented,Effective,,,,,Assessment of SI-3 for Partner SCM
f37a361a-f029-4a90-875e-be381f8c4a01,PM-3,Program Management,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-09,External Audit,Risk Management,Implemented,Effective,,,,,Assessment of PM-3 for Partner SCM
21ca233f-1f84-4b89-ae93-f042794adccc,PM-2,Program Management,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-08,Self-Assessment,Internal Audit Team,Not Applicable,,,,,,Assessment of PM-2 for Partner SCM
0db847e7-37f5-48eb-beb6-aa0c724f169a,IA-7,Identification and Authentication,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-07,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of IA-7 for Partner SCM
762272c4-393f-4ebe-b401-d265841272f7,IA-4,Identification and Authentication,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-03,Internal Audit,Internal Audit Team,Implemented,Effective,,,,,Assessment of IA-4 for Partner SCM
426ba2ac-1689-41b0-bf14-d5b16e4a32e6,SC-21,System and Communications Protection,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-22,Self-Assessment,External Auditor - PwC,Implemented,Effective,,,,,Assessment of SC-21 for Partner SCM
460f9d50-88d5-4140-9c61-e11c696d5dda,PL-10,Planning,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-17,Self-Assessment,External Auditor - Deloitte,Not Implemented,Not Effective,Training not yet completed for all relevant personnel,Complete staff training program,2025-01-27,Nicole Jones,Assessment of PL-10 for Partner SCM
a2caf66d-f82e-40da-a3be-7661c6dcfa1d,CA-2,Assessment Authorization and Monitoring,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-18,Internal Audit,External Auditor - PwC,Implemented,Effective,,,,,Assessment of CA-2 for Partner SCM
ad19c925-bfd1-4704-9aad-7a8d920d21fc,SC-7,System and Communications Protection,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-30,Continuous Monitoring,GRC Team,Implemented,Effective,,,,,Assessment of SC-7 for Partner SCM
7b34215e-dcad-42d3-bf89-a2dd079615c0,CM-11,Configuration Management,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-07,Internal Audit,Risk Management,Implemented,Effective,,,,,Assessment of CM-11 for Partner SCM
e9662aa5-1ac4-4b38-8430-4df535d95253,CM-4,Configuration Management,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-15,External Audit,Compliance Team,Not Implemented,Not Effective,Manual process needs automation for compliance,Engage vendor for implementation support,2025-01-12,Nicole Jones,Assessment of CM-4 for Partner SCM
420a3f2f-c811-40cf-ac4c-ef2d18adc7fd,PM-8,Program Management,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-14,Internal Audit,Risk Management,Implemented,Effective,,,,,Assessment of PM-8 for Partner SCM
87a5fb41-729f-4e88-b2be-763ad512d1d2,AT-2,Awareness and Training,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-15,Internal Audit,IT Security Team,Partially Implemented,Not Effective,Awaiting management approval for implementation,Document and formalize existing procedures,2024-12-17,Nicole Jones,Assessment of AT-2 for Partner SCM
19834bf4-b98e-42a9-ab79-ad1cdfbfc26e,AC-2,Access Control,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-20,Internal Audit,Security Operations,Implemented,Effective,,,,,Assessment of AC-2 for Partner SCM
ede07177-5220-4258-8ee0-9e793b4f9d43,IR-4,Incident Response,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-08,Internal Audit,IT Security Team,Partially Implemented,Partially Effective,Pending vendor support for required functionality,Engage vendor for implementation support,2025-03-31,Nicole Jones,Assessment of IR-4 for Partner SCM
856ed0a7-f4c6-4c6d-99d9-55b688b80cd4,CA-7,Assessment Authorization and Monitoring,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-12,Internal Audit,External Auditor - KPMG,Partially Implemented,Partially Effective,"Configuration drift detected, remediation in progress",Create exception handling process,2025-02-28,Nicole Jones,Assessment of CA-7 for Partner SCM
ea66c5af-199b-4965-9012-5a00e4221ff3,CA-1,Assessment Authorization and Monitoring,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-09-30,Self-Assessment,GRC Team,Implemented,Effective,,,,,Assessment of CA-1 for Partner SCM
cba7ad27-57c9-443d-ac11-d5b60a3aac86,SR-5,Supply Chain Risk Management,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-21,Internal Audit,Risk Management,Implemented,Effective,,,,,Assessment of SR-5 for Partner SCM
7a0df935-86b1-44f4-8825-5bb5979900e8,AU-5,Audit and Accountability,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-08,Internal Audit,External Auditor - PwC,Partially Implemented,Effective,Pending vendor support for required functionality,Implement automated control monitoring by Q1 2025,2025-02-19,Nicole Jones,Assessment of AU-5 for Partner SCM
6be96feb-f374-4dad-a417-f9fa09f890ce,SA-2,System and Services Acquisition,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-09-29,Internal Audit,GRC Team,Not Applicable,,,,,,Assessment of SA-2 for Partner SCM
6ab0885d-ff77-490e-9852-599360273cb9,AC-1,Access Control,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-15,Self-Assessment,GRC Team,Implemented,Effective,,,,,Assessment of AC-1 for Partner SCM
c7cb23f7-4c4a-41c9-a415-aa5a37800887,IR-1,Incident Response,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-12,Continuous Monitoring,GRC Team,Not Applicable,,,,,,Assessment of IR-1 for Partner SCM
f9d81ec7-291f-48d9-8e52-0dc19c50f9e1,PM-11,Program Management,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-13,Continuous Monitoring,IT Security Team,Implemented,Effective,,,,,Assessment of PM-11 for Partner SCM
54e9576e-bc4b-4425-9641-d36cadb0ae99,SA-1,System and Services Acquisition,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-09,Internal Audit,External Auditor - KPMG,Partially Implemented,Partially Effective,Control not yet implemented pending resource allocation,Upgrade legacy system to support required controls,2025-03-10,Nicole Jones,Assessment of SA-1 for Partner SCM
cc60cfd8-2054-489f-ba17-1b4ac1f26ec1,CP-2,Contingency Planning,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-10,Internal Audit,External Auditor - KPMG,Implemented,Partially Effective,,,,,Assessment of CP-2 for Partner SCM
74feb32b-f331-4380-90d9-4483a9a4a024,CM-10,Configuration Management,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-30,Internal Audit,External Auditor - KPMG,Implemented,Effective,,,,,Assessment of CM-10 for Partner SCM
71c9b272-51b6-4558-b563-a885d2ac0c3e,PL-1,Planning,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-21,Internal Audit,Compliance Team,Partially Implemented,Effective,Control not yet implemented pending resource allocation,Establish evidence collection workflow,2025-01-19,Nicole Jones,Assessment of PL-1 for Partner SCM
232535e3-4ff0-4769-93a5-d15ebe6d4146,MP-6,Media Protection,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-03,External Audit,External Auditor - KPMG,Partially Implemented,Partially Effective,Training not yet completed for all relevant personnel,Deploy centralized logging solution,2025-01-30,Nicole Jones,Assessment of MP-6 for Partner SCM
677204c8-181a-4042-8ecf-a4d8a7fb33f0,SC-1,System and Communications Protection,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-05,External Audit,External Auditor - Deloitte,Implemented,Effective,,,,,Assessment of SC-1 for Partner SCM
6685c853-546f-4c2a-b5e2-8c9fd1c17ad2,SI-4,System and Information Integrity,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-21,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of SI-4 for Partner SCM
03772b1d-93ba-4fc2-b036-480b38f095ec,AU-2,Audit and Accountability,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-10-29,Internal Audit,GRC Team,Implemented,Effective,,,,,Assessment of AU-2 for Partner SCM
ef8df761-df35-4646-af1b-ab22d843fb75,PE-14,Physical and Environmental Protection,b8bf9e72-6bb0-44d2-81fd-1bb862602359,Partner SCM,2024-11-04,Self-Assessment,IT Security Team,Implemented,Not Effective,,,,,Assessment of PE-14 for Partner SCM
54a42ace-e5ca-4d7b-824c-8dc87c1af110,AT-3,Awareness and Training,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-09,External Audit,External Auditor - PwC,Implemented,Effective,,,,,Assessment of AT-3 for Customer Integration Hub
670ac73c-9749-4b4b-8b6b-7b91939763e0,SC-20,System and Communications Protection,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-08-13,Self-Assessment,Security Operations,Partially Implemented,Partially Effective,Process exists but not consistently followed across all teams,Engage vendor for implementation support,2025-11-21,Michelle Lewis,Assessment of SC-20 for Customer Integration Hub
65b24399-3e20-417f-bdd9-84b6cfacc802,PL-11,Planning,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-19,Self-Assessment,GRC Team,Not Implemented,Not Effective,Technical debt impacting control effectiveness,Engage vendor for implementation support,2025-11-08,Michelle Lewis,Assessment of PL-11 for Customer Integration Hub
97ee56c6-046a-4cb2-9096-d1a085ca64c2,PM-10,Program Management,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-21,Internal Audit,Security Operations,Implemented,Effective,,,,,Assessment of PM-10 for Customer Integration Hub
21e3b5d5-ae69-4a8e-9e48-9576c4310f9a,PM-2,Program Management,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-06,Self-Assessment,External Auditor - PwC,Not Applicable,,,,,,Assessment of PM-2 for Customer Integration Hub
99d3ed63-990f-46de-8321-0b31767f499e,MP-2,Media Protection,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-08-08,Internal Audit,External Auditor - PwC,Partially Implemented,Not Effective,Missing formal documentation of the control procedure,Implement automated control monitoring by Q1 2025,2025-10-03,Michelle Lewis,Assessment of MP-2 for Customer Integration Hub
682f3094-b7da-4f2f-adf3-6029b17f3007,MP-1,Media Protection,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-12,Internal Audit,Compliance Team,Partially Implemented,Partially Effective,Technical debt impacting control effectiveness,Establish evidence collection workflow,2025-11-30,Michelle Lewis,Assessment of MP-1 for Customer Integration Hub
f4f97ee6-05ed-4895-8dcd-3aea9368a055,RA-1,Risk Assessment,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-08-24,Self-Assessment,External Auditor - Deloitte,Implemented,Effective,,,,,Assessment of RA-1 for Customer Integration Hub
e920a66f-f3f7-431c-9c55-ffa2c5f0395f,IA-8,Identification and Authentication,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-28,Internal Audit,Security Operations,Partially Implemented,Partially Effective,Integration with monitoring tools incomplete,Create exception handling process,2026-01-24,Michelle Lewis,Assessment of IA-8 for Customer Integration Hub
78d11d43-dc3b-45e6-a3b3-b7ee5ac1202e,SC-5,System and Communications Protection,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-28,Self-Assessment,Compliance Team,Implemented,Effective,,,,,Assessment of SC-5 for Customer Integration Hub
742157f4-4a49-4ac0-94f1-e115ed680d83,SI-4,System and Information Integrity,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-29,External Audit,Compliance Team,Partially Implemented,Partially Effective,Process exists but not consistently followed across all teams,Establish evidence collection workflow,2026-01-18,Michelle Lewis,Assessment of SI-4 for Customer Integration Hub
c2d2f95b-9923-4d08-a20a-a9d41e2a8418,AC-22,Access Control,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-07,Internal Audit,Risk Management,Implemented,Effective,,,,,Assessment of AC-22 for Customer Integration Hub
423c12f3-d649-456d-9893-a81e414f0ee7,SI-12,System and Information Integrity,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-08-26,Internal Audit,External Auditor - Deloitte,Implemented,Effective,,,,,Assessment of SI-12 for Customer Integration Hub
68b7c601-a2c6-4b5d-bc25-97df82f1301b,IR-5,Incident Response,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-12,Internal Audit,Compliance Team,Implemented,Effective,,,,,Assessment of IR-5 for Customer Integration Hub
611233c5-ca52-470e-806b-026705624779,PE-16,Physical and Environmental Protection,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-02,Internal Audit,External Auditor - KPMG,Implemented,Effective,,,,,Assessment of PE-16 for Customer Integration Hub
ceec01fd-6a6e-49e8-88ae-679b82d8b335,RA-2,Risk Assessment,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-29,Internal Audit,GRC Team,Implemented,Effective,,,,,Assessment of RA-2 for Customer Integration Hub
cdb30ebe-5237-4e85-b88b-d758318df4cd,CP-4,Contingency Planning,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-13,Internal Audit,Internal Audit Team,Not Implemented,Not Effective,Pending vendor support for required functionality,Establish evidence collection workflow,2025-11-17,Michelle Lewis,Assessment of CP-4 for Customer Integration Hub
49e07077-976c-4807-964c-6b64189a7c2b,CA-5,Assessment Authorization and Monitoring,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-30,External Audit,Security Operations,Implemented,Effective,,,,,Assessment of CA-5 for Customer Integration Hub
f4e7bb78-8350-4f2a-8eba-a282567d170e,CM-2,Configuration Management,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-22,Self-Assessment,Compliance Team,Partially Implemented,Partially Effective,Process exists but not consistently followed across all teams,Complete staff training program,2025-08-27,Michelle Lewis,Assessment of CM-2 for Customer Integration Hub
7b474cfb-21d7-4819-a125-9148e810ceaf,IA-1,Identification and Authentication,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-17,Internal Audit,IT Security Team,Implemented,Effective,,,,,Assessment of IA-1 for Customer Integration Hub
c623dbd1-85e9-43a9-b4c1-dd42dc6bf7e7,PM-9,Program Management,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-16,External Audit,Internal Audit Team,Implemented,Effective,,,,,Assessment of PM-9 for Customer Integration Hub
b39f3f2c-de4e-4584-ba68-e8e289d3bef2,PS-2,Personnel Security,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-26,Self-Assessment,Internal Audit Team,Implemented,Effective,,,,,Assessment of PS-2 for Customer Integration Hub
2e16f8de-bcc1-49da-b565-776d1bd072a2,SC-22,System and Communications Protection,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-08-11,Self-Assessment,GRC Team,Not Implemented,Not Effective,Training not yet completed for all relevant personnel,Deploy centralized logging solution,2025-09-18,Michelle Lewis,Assessment of SC-22 for Customer Integration Hub
92319457-dcf4-4ef3-81fa-2e3b53ae273b,PM-7,Program Management,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-08-03,Self-Assessment,GRC Team,Partially Implemented,Effective,Manual process needs automation for compliance,Complete staff training program,2026-01-19,Michelle Lewis,Assessment of PM-7 for Customer Integration Hub
85581d82-3418-44f1-a217-5300d00050e7,CM-8,Configuration Management,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-07-15,Self-Assessment,External Auditor - KPMG,Implemented,Effective,,,,,Assessment of CM-8 for Customer Integration Hub
ae3fc6d2-90e7-494e-a3f2-db574413d707,CM-1,Configuration Management,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-08-08,External Audit,External Auditor - KPMG,Implemented,Partially Effective,,,,,Assessment of CM-1 for Customer Integration Hub
9b536d6c-4930-4c1f-bfd6-b58900eee494,AC-17,Access Control,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-08-16,Internal Audit,External Auditor - PwC,Implemented,Effective,,,,,Assessment of AC-17 for Customer Integration Hub
fd425cba-e121-42a2-a776-cdd6867f48e1,RA-7,Risk Assessment,ab3f8dfe-b4de-40c1-a6f2-02f2ccc808a5,Customer Integration Hub,2025-08-19,Self-Assessment,Security Operations,Implemented,Effective,,,,,Assessment of RA-7 for Customer Integration Hub
02681121-c334-4984-b89b-f7fa909faf20,PS-9,Personnel Security,b21b50e2-5477-48fe-9624-1033b474b0f7,Analytics HRIS,2025-04-28,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of PS-9 for Analytics HRIS
ee582237-7dcb-4549-a8e8-ac5ea8b5480f,PE-16,Physical and Environmental Protection,b21b50e2-5477-48fe-9624-1033b474b0f7,Analytics HRIS,2025-05-31,Self-Assessment,Compliance Team,Implemented,Effective,,,,,Assessment of PE-16 for Analytics HRIS
20aff7cb-fc19-4e57-9de5-5d6d5478a14f,SI-3,System and Information Integrity,b21b50e2-5477-48fe-9624-1033b474b0f7,Analytics HRIS,2025-05-02,Internal Audit,IT Security Team,Implemented,Effective,,,,,Assessment of SI-3 for Analytics HRIS
736c817d-1569-4c80-a586-f166c0a28430,CA-5,Assessment Authorization and Monitoring,b21b50e2-5477-48fe-9624-1033b474b0f7,Analytics HRIS,2025-05-18,Self-Assessment,IT Security Team,Implemented,Effective,,,,,Assessment of CA-5 for Analytics HRIS
618b2105-9781-4090-a7ee-77d9b23c8655,RA-3,Risk Assessment,b21b50e2-5477-48fe-9624-1033b474b0f7,Analytics HRIS,2025-04-21,Internal Audit,IT Security Team,Implemented,Effective,,,,,Assessment of RA-3 for Analytics HRIS
2e3aa1d5-518d-480e-9b44-6a450f00f19c,CA-6,Assessment Authorization and Monitoring,b21b50e2-5477-48fe-9624-1033b474b0f7,Analytics HRIS,2025-04-27,Self-Assessment,Internal Audit Team,Implemented,Effective,,,,,Assessment of CA-6 for Analytics HRIS
4b5f879f-b526-496f-8692-722f1e66e3a6,IA-4,Identification and Authentication,b21b50e2-5477-48fe-9624-1033b474b0f7,Analytics HRIS,2025-04-28,Internal Audit,Risk Management,Implemented,Effective,,,,,Assessment of IA-4 for Analytics HRIS
